# Present path LIVE (MAMESTer core loaded, write-combined), 600 frames.
# setname	fps	driver_file	drc	fallback	title
panther	69.7	irem/redalert.cpp	-	mame4all	Panther (bootleg?)
hotsmash	69.7	taito/superqix.cpp	-	-	Vs. Hot Smash
sderby	69.7	playmark/sderby.cpp	-	-	Super Derby (Playmark, v.07.03)
magic10	69.6	misc/magic10.cpp	-	-	Magic's 10 (ver. 16.55)
sub	69.6	orca/sub.cpp	-	-	Submarine (Sigma)
dokidoki	69.5	sega/sg1000a.cpp	-	-	Doki Doki Penguin Land
showdown	69.2	exidy/exidy440.cpp	-	mame4all	Showdown (version 5.0)
powerbal	69.1	playmark/powerbal.cpp	-	-	Power Balls
crossbow	69.0	exidy/exidy440.cpp	-	mame4all	Crossbow (version 2.0)
lbeach	68.9	olympia/lbeach.cpp	-	-	Long Beach
musicsrt	68.9	misc/magic10.cpp	-	-	Music Sort (ver. 2.02)
sharkatt	68.8	pacific/thief.cpp	-	mame4all	Shark Attack
cheyenne	68.6	exidy/exidy440.cpp	-	mame4all	Cheyenne (version 1.0)
pengadvb	68.6	msx/pengadvb.cpp	-	-	Penguin Adventure (bootleg of MSX version, encrypted)
funybubl	68.5	comad/funybubl.cpp	-	-	Funny Bubble
crgolf	68.5	nasco/crgolf.cpp	-	-	Crowns Golf (834-5419-04)
lazercmd	68.5	meadows/lazercmd.cpp	-	mame4all	Lazer Command
chwrestl	68.4	sega/sg1000a.cpp	-	-	Champion Pro Wrestling
topsecex	68.3	exidy/exidy440.cpp	-	mame4all	Top Secret (Exidy) (version 1.0)
bsktball	68.3	atari/bsktball.cpp	-	mame4all	Atari Basketball
kok	68.3	misc/photon2.cpp	-	-	Povar / Sobrat' Buran / Agroprom (Arcade multi-game bootleg of ZX Spectrum 'Cookie', 'Jetpac' & 'Pssst')
sgsafari	68.2	misc/magic10.cpp	-	-	Super Gran Safari (ver. 3.11)
nhomerun	68.0	jaleco/homerun.cpp	-	-	NEW Moero!! Pro Yakyuu Homerun Kyousou
thief	68.0	pacific/thief.cpp	-	mame4all	Thief
gundealr	67.9	dooyong/gundealr.cpp	-	mame4all	Gun Dealer
bishi	67.7	konami/bishi.cpp	-	-	Bishi Bashi Champ Mini Game Senshuken (ver JAA, 3 Players)
yukon	67.7	exidy/exidy440.cpp	-	mame4all	Yukon (version 2.0)
bking	67.7	taito/bking.cpp	-	mame4all	Birdie King
ssingles	67.6	yachiyo/ssingles.cpp	-	-	Swinging Singles (US)
combat	67.5	exidy/exidy440.cpp	-	mame4all	Combat (version 3.0)
vsgongf	67.4	taito/tsamurai.cpp	-	mame4all	VS Gong Fight
jumpkun	67.4	taito/pitnrun.cpp	-	-	Jump Kun (prototype)
skydiver	67.4	atari/skydiver.cpp	-	mame4all	Sky Diver
chiller	67.2	exidy/exidy440.cpp	-	mame4all	Chiller (version 3.0)
mole	67.2	yachiyo/mole.cpp	-	mame4all	Mole Attack
hitnmiss	67.1	exidy/exidy440.cpp	-	mame4all	Hit 'n Miss (version 3.0)
cracksht	66.9	exidy/exidy440.cpp	-	mame4all	Crackshot (version 2.0)
sslam	66.8	playmark/sslam.cpp	-	-	Super Slam (set 1)
flyboy	66.8	galaxian/fastfred.cpp	-	mame4all	Fly-Boy
natodef	66.8	pacific/thief.cpp	-	mame4all	NATO Defense
navarone	66.8	namco/warpwarp.cpp	-	mame4all	Navarone
pairlove	66.5	seta/seta.cpp	-	mame4all	Pairs Love
imago	66.4	galaxian/fastfred.cpp	-	mame4all	Imago (cocktail set)
wmg	66.4	williams/wmg.cpp	-	-	Williams Multigame
dynashot	66.3	jaleco/homerun.cpp	-	-	Dynamic Shoot Kyousou
bbprot	66.1	nix/fitfight.cpp	-	-	unknown fighting game 'BB' (prototype)
cyclemb	66.1	taito/cyclemb.cpp	-	-	Cycle Maabou (Japan)
qzkklogy	66.1	seta/seta.cpp	-	mame4all	Quiz Kokology
stuntair	66.1	misc/stuntair.cpp	-	-	Stunt Air
blackt96	66.0	dgrm/blackt96.cpp	-	-	Black Touch '96
hyhoo2	65.8	nichibutsu/hyhoo.cpp	-	-	Hayaoshi Taisen Quiz Hyhoo 2 (Japan)
claypign	65.8	exidy/exidy440.cpp	-	mame4all	Clay Pigeon (version 2.0)
bogeyman	65.8	technos/bogeyman.cpp	-	mame4all	Bogey Manor
macha	65.8	nichibutsu/jangou.cpp	-	-	Monoshiri Quiz Oshaberi Macha (Japan)
whodunit	65.6	exidy/exidy440.cpp	-	mame4all	Who Dunit (version 9.0)
magicstk	65.5	playmark/powerbal.cpp	-	-	Magic Sticks
lependu	65.5	misc/lependu.cpp	-	-	Le Pendu (Bilingue, Version 04)
actionhw	65.4	tch/kickgoal.cpp	-	-	Action Hollywood
rougien	65.3	sanritsu/mermaid.cpp	-	mame4all	Rougien
egghunt	65.1	capcom/egghunt.cpp	-	-	Egg Hunt
redrobin	65.1	galaxian/fastfred.cpp	-	mame4all	Red Robin
alinvade	65.0	misc/alinvade.cpp	-	-	Alien Invaders
magjoker	64.8	misc/galaxi.cpp	-	-	Magic Joker (v1.25.10.2000)
altair	64.8	efo/cidelsa.cpp	-	-	Altair
shuuz	64.8	atari/shuuz.cpp	-	mame4all	Shuuz (version 8.0)
stonebal	64.7	misc/artmagic.cpp	-	-	Stone Ball (4 Players, v1-20 13/12/1994)
lastfour	64.6	misc/galaxi.cpp	-	-	Last Four (09:12 16/01/2001)
formatz	64.4	jaleco/aeroboto.cpp	-	mame4all	Formation Z
wolfpack	64.2	atari/wolfpack.cpp	-	-	Wolf Pack (prototype)
itaten	64.0	nichibutsu/dacholer.cpp	-	-	Itazura Tenshi (Japan)
tsukande	63.9	konami/konmedal.cpp	-	-	Tsukande Toru Chicchi
ssmissin	63.7	nmk/nmk16.cpp	-	mame4all	S.S. Mission
10yard	63.7	irem/m58.cpp	-	-	10-Yard Fight (World, set 1)
pirates	63.6	nix/pirates.cpp	-	-	Pirates (set 1)
avalnche	63.6	atari/avalnche.cpp	-	mame4all	Avalanche
crash	63.4	exidy/circus.cpp	-	mame4all	Crash (set 1)
skydest	63.3	taito/cyclemb.cpp	-	-	Sky Destroyer (Japan)
airattck	63.1	nmk/nmk16.cpp	-	mame4all	Air Attack (set 1)
galaxi	63.0	misc/galaxi.cpp	-	-	Galaxi (v2.0)
sushimar	63.0	sigma/sigmab98.cpp	-	-	Itazura Daisuki! Sushimaru Kun
tutstomb	63.0	misc/tickee.cpp	-	-	Tut's Tomb
sliver	62.9	misc/sliver.cpp	-	-	Sliver (set 1)
mil4000	62.9	misc/mil4000.cpp	-	-	Millennium Nuovo 4000 (Version 2.0)
logicpr2	62.8	sega/deniam.cpp	-	mame4all	Logic Pro 2 (Japan)
hyhoo	62.7	nichibutsu/hyhoo.cpp	-	-	Hayaoshi Taisen Quiz Hyhoo (Japan)
ghoshunt	62.4	misc/tickee.cpp	-	-	Ghost Hunter
chanbara	62.4	dataeast/chanbara.cpp	-	-	Chanbara (Japan)
tbeastw2	62.4	sigma/sigmab98.cpp	-	-	Transformers Beast Wars II
b3rinsya	62.2	sigma/sigmab98.cpp	-	-	Burning Sanrinsya - Burning Tricycle
gegege	62.2	sigma/sigmab98.cpp	-	-	GeGeGe no Kitarou Youkai Slot
jangou	62.1	nichibutsu/jangou.cpp	-	-	Jangou (Japan)
9ballsht	62.0	misc/coolpool.cpp	-	-	9-Ball Shootout (set 1)
musclem	62.0	misc/musclem.cpp	-	-	Muscle Master
krzybowl	61.9	seta/seta.cpp	-	mame4all	Krazy Bowl
r2dtank	61.9	sigma/r2dtank.cpp	-	-	R2D Tank
dodghero	61.8	sigma/sigmab98.cpp	-	-	Minna Atsumare! Dodge Hero
coolpool	61.6	misc/coolpool.cpp	-	-	Cool Pool
kaos	61.6	alliedleisure/killcom.cpp	-	mame4all	Kaos
chaknpop	61.6	taito/chaknpop.cpp	-	-	Chack'n Pop
relief	61.3	atari/relief.cpp	-	mame4all	Relief Pitcher (Rev D, 07 Jun 1992 / 28 May 1992)
trvhang	61.3	misc/smsmcorp.cpp	-	-	Trivia Hangup (version Trivia-1-050185)
chewheel	61.2	misc/mil4000.cpp	-	-	Cherry Wheel (Version 1.7)
sureshot	61.2	misc/smsmcorp.cpp	-	-	Sure Shot
secondch	61.1	misc/smsmcorp.cpp	-	-	Second Chance
drgnbstr	61.0	namco/skykid.cpp	-	mame4all	Dragon Buster
luckboom	61.0	playmark/sderby.cpp	-	-	Lucky Boom
goindol	61.0	suna/goindol.cpp	-	mame4all	Goindol (SunA, World)
pkscram	61.0	misc/pkscram.cpp	-	-	PK Scramble
sqix	61.0	taito/superqix.cpp	-	-	Super Qix (World/Japan, V1.2)
stg	60.9	seta/seta.cpp	-	mame4all	Strike Gunner S.T.G
crgolfhi	60.9	nasco/crgolf.cpp	-	-	Crowns Golf in Hawaii
carjmbre	60.7	omori/carjmbre.cpp	-	-	Car Jamboree
bking2	60.6	taito/bking.cpp	-	mame4all	Birdie King 2
newfant	60.5	kaneko/expro02.cpp	-	-	New Fantasia (1995 copyright)
diverboy	60.5	edevices/diverboy.cpp	-	-	Diver Boy
nitedrvr	60.3	atari/nitedrvr.cpp	-	mame4all	Night Driver
pktgaldx	60.2	dataeast/pktgaldx.cpp	-	-	Pocket Gal Deluxe (Europe v3.00)
mightguy	60.2	nichibutsu/cop01.cpp	-	mame4all	Mighty Guy
jngolady	60.2	nichibutsu/jangou.cpp	-	-	Jangou Lady (Japan)
sidewndr	60.2	misc/acefruit.cpp	-	-	Sidewinder
sms4in1	60.2	misc/smsmcorp.cpp	-	-	4-in-1 (version SWS1-052587)
kickboy	60.1	nichibutsu/dacholer.cpp	-	-	Kick Boy
olibochu	60.1	irem/olibochu.cpp	-	mame4all	Oli-Boo-Chu (USA)
speedspn	60.1	tch/speedspn.cpp	-	-	Speed Spin
pangpang	60.0	dataeast/tumbleb.cpp	-	-	Pang Pang
slqz2	60.0	igs/igs017.cpp	-	-	Shuang Long Qiang Zhu 2 VS (China, VS203J, set 1)
killcom	59.9	alliedleisure/killcom.cpp	-	mame4all	Killer Comet
pepsiman	59.9	sigma/sigmab98.cpp	-	-	PEPSI Man
wiz	59.9	seibu/wiz.cpp	-	mame4all	Wiz
zipzap	59.8	kaneko/expro02.cpp	-	-	Zip & Zap (Explicit)
dacholer	59.8	nichibutsu/dacholer.cpp	-	-	Dacholer
hotbody	59.7	misc/gameace.cpp	-	-	Hot Body I
megatack	59.6	alliedleisure/killcom.cpp	-	mame4all	Megatack (set 1)
shinygld	59.6	playmark/sderby.cpp	-	-	Shiny Golds
androidp	59.4	nasco/himesiki.cpp	-	-	Android (prototype, later build)
m79amb	59.4	ramtek/m79amb.cpp	-	mame4all	M-79 Ambush
piratetr	59.3	alliedleisure/killcom.cpp	-	mame4all	Pirate Treasure
missw96	59.2	kaneko/expro02.cpp	-	-	Miss World '96 (Nude) (C-3000A PCB, set 1)
mouser	59.2	upl/mouser.cpp	-	-	Mouser
scyclone	59.2	taito/scyclone.cpp	-	-	Space Cyclone (Japan)
ladygum	59.1	misc/videosaa.cpp	-	-	Lady Gum
ucytokyu	59.1	sigma/sigmab98.cpp	-	-	Uchuu Tokkyuu Medalian
supmodel	59.0	kaneko/expro02.cpp	-	-	Super Model
battlane	59.0	technos/battlane.cpp	-	mame4all	Battle Lane! Vol. 5 (set 1)
mayumi	59.0	sanritsu/chinsan.cpp	-	-	Kiki-Ippatsu Mayumi-chan
tickee	59.0	misc/tickee.cpp	-	-	Tickee Tickats
galgame	58.9	misc/galgame.cpp	-	-	Galaxy Game
bking3	58.8	taito/bking.cpp	-	mame4all	Birdie King 3
yuka	58.7	seta/macs.cpp	-	-	Yu-Ka
mgcs	58.7	igs/igs017.cpp	-	-	Manguan Caishen (China, V103CS)
compgolf	58.6	dataeast/compgolf.cpp	-	-	Competition Golf Final Round (World?, revision 3)
wiggie	58.6	seta/seta.cpp	-	mame4all	Wiggie Waggie
pgalvip	58.5	kaneko/expro02.cpp	-	-	Pocket Gals V.I.P (set 1)
trvmadns	58.5	misc/trvmadns.cpp	-	-	Trivia Madness - Series A Question set
spellbnd	58.4	misc/acefruit.cpp	-	-	Spellbound
umanclub	58.4	seta/seta.cpp	-	mame4all	Ultraman Club - Tatakae! Ultraman Kyoudai!!
supmodl2	58.3	kaneko/expro02.cpp	-	-	Super Model II
neobattl	58.3	seta/seta.cpp	-	mame4all	SD Gundam Neo Battling (Japan)
strvmstr	58.3	misc/ettrivia.cpp	-	-	Super Trivia Master
top21	58.3	misc/mil4000.cpp	-	-	Top XXI (Version 1.2)
fantsia2	58.2	kaneko/expro02.cpp	-	-	Fantasia II (Explicit)
supertnk	58.2	videogames/supertnk.cpp	-	-	Super Tank
mgdh	58.1	igs/igs017.cpp	-	-	Manguan Daheng (Taiwan, V125T1)
lhzb2	58.1	igs/igs017.cpp	-	-	Long Hu Zhengba 2 (China, set 1)
kungfut	58.1	seibu/wiz.cpp	-	mame4all	Kung-Fu Taikun (set 1)
leprechn	58.0	alliedleisure/killcom.cpp	-	mame4all	Leprechaun (set 1)
mainsnk	58.0	snk/mainsnk.cpp	-	-	Main Event (1984)
jumpkids	57.9	dataeast/tumbleb.cpp	-	-	Jump Kids
canvas	57.9	snk/mainsnk.cpp	-	-	Canvas Croquis
ksayakyu	57.9	taito/ksayakyu.cpp	-	-	Kusayakyuu
seabattl	57.7	zaccaria/seabattl.cpp	-	-	Sea Battle
yujan	57.6	seta/macs.cpp	-	-	Yu-Jan
pyenaget	57.6	sigma/sammymdl.cpp	-	-	Pye-nage Taikai
usgames	57.5	misc/usgames.cpp	-	-	Games V25.4X
tetrisp2	57.4	jaleco/tetrisp2.cpp	-	-	Tetris Plus 2 (World, V2.8)
usg32	57.4	misc/usgames.cpp	-	-	Super Duper Casino (California V3.2)
gocowboy	57.3	sigma/sammymdl.cpp	-	-	Go Go Cowboy (English, prize)
spacewin	57.3	playmark/sderby.cpp	-	-	Scacco Matto / Space Win
abaseb	57.2	atari/atarifb.cpp	-	mame4all	Atari Baseball (set 1)
promutrv	57.2	misc/ettrivia.cpp	-	-	Progressive Music Trivia (Question set 1)
smissw	57.1	kaneko/expro02.cpp	-	-	Super Miss World
sbowling	57.1	taito/sbowling.cpp	-	-	Strike Bowling
soccer	57.1	atari/atarifb.cpp	-	mame4all	Atari Soccer
superten	57.1	misc/usgames.cpp	-	-	Super Ten V8.3
musicbal	57.0	tecfri/speedbal.cpp	-	mame4all	Music Ball
prosport	57.0	dataeast/liberate.cpp	-	-	Pro Sports - Bowling, Tennis, and Golf
twinbrat	56.9	edevices/stlforce.cpp	-	-	Twin Brats (set 1)
mwarr	56.8	edevices/mwarr.cpp	-	-	Mighty Warriors (24/1)
mirax	56.8	misc/mirax.cpp	-	-	Mirax (set 1)
fantasia	56.7	kaneko/expro02.cpp	-	-	Fantasia (940429 PCB, set 1)
piratesh	56.7	konami/piratesh.cpp	-	-	Pirate Ship (ver UAA)
sranger	56.7	suna/suna8.cpp	-	mame4all	Super Ranger (v2.0)
ladymstr	56.6	taito/tsamurai.cpp	-	mame4all	Lady Master of Kung Fu (rev 1)
thunderl	56.6	seta/seta.cpp	-	mame4all	Thunder & Lightning (set 1)
cop01	56.5	nichibutsu/cop01.cpp	-	mame4all	Cop 01 (set 1)
haekaka	56.5	sigma/sammymdl.cpp	-	-	Hae Hae Ka Ka Ka
speedbal	56.5	tecfri/speedbal.cpp	-	mame4all	Speed Ball (set 1)
tankbust	56.5	valadon/tankbust.cpp	-	-	Tank Busters
bs94	56.4	misc/re900.cpp	-	-	Buena Suerte '94
champbb2	56.4	alpha/champbas.cpp	-	mame4all	Champion Base Ball Part-2 (set 1)
prosoccr	56.4	dataeast/liberate.cpp	-	-	Pro Soccer
pbaction	56.3	tecmo/pbaction.cpp	-	mame4all	Pinball Action (set 1)
ppmast93	56.3	edevices/ppmast93.cpp	-	-	Ping Pong Masters '93
casanova	56.2	promat/3x3puzzl.cpp	-	-	Casanova
himesiki	56.2	nasco/himesiki.cpp	-	-	Himeshikibu (Japan)
re900	56.2	misc/re900.cpp	-	-	Ruleta RE-900
strnskil	56.2	sunelectronics/markham.cpp	-	-	Strength & Skill
d9final	56.1	excellent/d9final.cpp	-	-	Dream 9 Final (v2.24)
pipeline	56.1	misc/pipeline.cpp	-	-	Pipeline
dreambal	56.0	dataeast/dreambal.cpp	-	-	Dream Ball (Japan V2.4)
futflash	56.0	misc/laserbas.cpp	-	-	Future Flash (set 1)
slspirit	55.9	promat/1945kiii.cpp	-	-	Solite Spirits
pipedrm	55.8	vsystem/pipedrm.cpp	-	mame4all	Pipe Dream (World)
oisipuzl	55.8	seta/seta.cpp	-	mame4all	Oishii Puzzle Ha Irimasenka
topdrive	55.8	tch/topdrive.cpp	-	-	Top Driving (version 1.1)
brapboys	55.8	kaneko/kaneko16.cpp	-	mame4all	B.Rap Boys (World)
efdt	55.8	misc/efdt.cpp	-	-	El Fin Del Tiempo
pass	55.8	misc/pass.cpp	-	-	Pass
bottom9	55.7	konami/bottom9.cpp	-	mame4all	Bottom of the Ninth (version T)
feversoc	55.7	seibu/feversoc.cpp	sh	-	Fever Soccer
lvgirl94	55.7	comad/zerozone.cpp	-	mame4all	Las Vegas Girl (Girl '94)
yamagchi	55.7	taito/tsamurai.cpp	-	mame4all	Go Go Mr. Yamaguchi / Yuke Yuke Yamaguchi-kun
zerozone	55.7	comad/zerozone.cpp	-	mame4all	Zero Zone
fightrol	55.6	taito/rollrace.cpp	-	-	Fighting Roller
1945kiii	55.5	promat/1945kiii.cpp	-	-	1945k III (newer, OPCX2 PCB)
dogfgt	55.5	technos/dogfgt.cpp	-	-	Acrobatic Dog-Fight
mystston	55.5	technos/mystston.cpp	-	mame4all	Mysterious Stones: Dr. John's Adventure
fncywld	55.4	dataeast/tumbleb.cpp	-	-	Fancy World - Earth of Crisis (set 1)
drmicro	55.4	sanritsu/drmicro.cpp	-	-	Dr. Micro
flipjack	55.4	misc/flipjack.cpp	-	-	Flipper Jack
cachat	55.3	taito/taito_l.cpp	-	mame4all	Cachat (Japan)
onetwo	55.3	dgrm/onetwo.cpp	-	-	One + Two
plotting	55.3	taito/taito_l.cpp	-	mame4all	Plotting (World set 1)
bigprowr	55.2	technos/tagteam.cpp	-	mame4all	The Big Pro Wrestling! (set 1)
gemcrush	55.2	misc/dfruit.cpp	-	-	Gemcrush (Japan, prototype)
qzkklgy2	55.2	seta/seta.cpp	-	mame4all	Quiz Kokology 2
tdoboon	55.1	sigma/sammymdl.cpp	-	-	Taihou de Doboon
hardhead	55.1	suna/suna8.cpp	-	mame4all	Hard Head
scudhamm	55.1	jaleco/scudhamm.cpp	-	-	Scud Hammer (Japan, ver 1.4)
wrofaero	55.1	seta/seta.cpp	-	mame4all	War of Aero - Project MEIOU
iqblock	55.0	igs/iqblock.cpp	-	-	IQ-Block (V100U)
palamed	55.0	taito/taito_l.cpp	-	mame4all	Palamedes (US)
tryout	55.0	dataeast/tryout.cpp	-	-	Pro Baseball Skill Tryout (Japan)
tsamurai	55.0	taito/tsamurai.cpp	-	mame4all	Samurai Nihon-Ichi (rev 1)
ssozumo	54.8	technos/ssozumo.cpp	-	mame4all	Syusse Oozumou (Japan)
stactics	54.8	sega/stactics.cpp	-	mame4all	Space Tactics
ttchamp	54.8	misc/ttchamp.cpp	-	-	Table Tennis Champions
wownfant	54.7	kaneko/expro02.cpp	-	-	WOW New Fantasia (Explicit)
dblcrown	54.7	excellent/dblcrown.cpp	-	-	Double Crown (v1.0.3)
go2000	54.7	suna/go2000.cpp	-	-	Go 2000
cubybop	54.6	taito/taito_l.cpp	-	mame4all	Cuby Bop (Japan, location test)
missb2	54.5	taito/missb2.cpp	-	-	Miss Bubble II
challeng	54.4	alliedleisure/killcom.cpp	-	mame4all	Challenger
shangha3	54.4	sunelectronics/shangha3.cpp	-	mame4all	Shanghai III (World)
sokonuke	54.4	seta/seta.cpp	-	mame4all	Sokonuke Taisen Game (Japan)
genix	54.1	nix/pirates.cpp	-	-	Genix Family
momoko	54.1	jaleco/momoko.cpp	-	mame4all	Momoko 120% (Japanese text)
taxidriv	54.1	misc/taxidriv.cpp	-	-	Taxi Driver
goori	54.0	unico/goori.cpp	-	-	Goori Goori
liberatr	54.0	atari/liberatr.cpp	-	mame4all	Liberator (version 2)
markham	54.0	sunelectronics/markham.cpp	-	-	Markham
appoooh	53.9	sanritsu/appoooh.cpp	-	mame4all	Appoooh
gigasm2	53.9	misc/freekick.cpp	-	-	Gigas Mark II (MC-8123, 317-5002)
magmax	53.9	nichibutsu/magmax.cpp	-	-	Mag Max (set 1)
magipur	53.8	dataeast/tumbleb.cpp	-	-	Magic Purple
burglarx	53.7	unico/unico.cpp	-	-	Burglar X
skyfox	53.7	jaleco/skyfox.cpp	-	mame4all	Sky Fox
mainevt	53.6	konami/mainevt.cpp	-	mame4all	The Main Event (4 Players ver. Y)
sparkz	53.6	atari/arcadecl.cpp	-	mame4all	Sparkz (prototype)
ginganin	53.5	jaleco/ginganin.cpp	-	mame4all	Ginga Ninkyouden (set 1)
pbillrd	53.5	misc/freekick.cpp	-	-	Perfect Billiard
rezon	53.5	seta/seta.cpp	-	mame4all	Rezon
rampart	53.4	atari/rampart.cpp	-	mame4all	Rampart (Trackball)
heuksun	53.4	f32/crospang.cpp	-	-	Heuk Sun Baek Sa (Korea)
jockeyc	53.4	seta/seta.cpp	-	mame4all	Jockey Club (v1.18)
dolmen	53.3	nmk/nmk16.cpp	-	mame4all	Dolmen
xxmissio	53.3	upl/xxmissio.cpp	-	-	XX Mission
5clown	53.2	igs/5clown.cpp	-	-	Five Clown (English, set 1)
joyfulr	53.2	snk/munchmo.cpp	-	mame4all	Joyful Road (Japan)
spcforce	53.2	misc/spcforce.cpp	-	mame4all	Space Force (set 1)
freekick	53.0	misc/freekick.cpp	-	-	Free Kick (NS6201-A 1987.10)
omega	53.0	misc/freekick.cpp	-	-	Omega
sindbadm	53.0	sega/segag80r.cpp	-	mame4all	Sindbad Mystery
watrball	53.0	gaelco/blmbycar.cpp	-	-	Water Balls
tm	52.9	williams/tmaster.cpp	-	-	Touchmaster (v3.00 Euro)
trvquest	52.9	alliedleisure/trvquest.cpp	-	-	Trivia Quest
tm2k	52.8	williams/tmaster.cpp	-	-	Touchmaster 2000 Plus (v4.63 Standard)
paprazzi	52.8	yunsung/yunsun16.cpp	-	-	Paparazzi
eightfrc	52.8	seta/seta.cpp	-	mame4all	Eight Forces
gigas	52.8	misc/freekick.cpp	-	-	Gigas (MC-8123, 317-5002)
famibox	52.7	nintendo/famibox.cpp	-	-	FamicomBox
robowres	52.7	sanritsu/appoooh.cpp	-	mame4all	Robo Wres 2001
atarifb	52.6	atari/atarifb.cpp	-	mame4all	Atari Football (revision 2)
dfruit	52.6	misc/dfruit.cpp	-	-	Fruit Dream (Japan, Ver. 1.20)
fcombat	52.6	jaleco/fcombat.cpp	-	-	Field Combat
sparkman	52.6	suna/suna8.cpp	-	mame4all	Spark Man (v2.0, set 1)
ppking	52.5	taito/gladiatr.cpp	-	mame4all	Ping-Pong King
bestri	52.4	f32/crospang.cpp	-	-	Bestri (Korea, set 1)
gpgolf	52.4	itech/itech8.cpp	-	-	Golden Par Golf (Joystick, v1.1)
quizdna	52.4	nmk/quizdna.cpp	-	-	Quiz DNA no Hanran (Japan)
ddayjlc	52.3	jaleco/dday.cpp	-	-	D-Day (Jaleco, set 1)
gtg2	52.3	itech/itech8.cpp	-	-	Golden Tee Golf II (Trackball, v2.2)
mazerbla	52.3	stern/mazerbla.cpp	-	-	Mazer Blazer (set 1)
tm7k	52.2	williams/tmaster.cpp	-	-	Touchmaster 7000 (v8.04 Standard)
spec2k	52.2	nmk/nmk16.cpp	-	mame4all	Spectrum 2000 (vertical, Korea)
suprgolf	52.2	nasco/suprgolf.cpp	-	-	Super Crowns Golf (World)
gekiretu	52.1	nmk/quizdna.cpp	-	-	Quiz Gekiretsu Scramble (Japan)
tm3k	52.0	williams/tmaster.cpp	-	-	Touchmaster 3000 (v5.02 Standard)
retofinv	52.0	taito/retofinv.cpp	-	mame4all	Return of the Invaders
banbam	51.9	sunelectronics/markham.cpp	-	-	BanBam
animalc	51.8	sigma/sammymdl.cpp	-	-	Animal Catch
starfigh	51.8	suna/suna8.cpp	-	mame4all	Star Fighter (v1)
chinsan	51.7	sanritsu/chinsan.cpp	-	-	Ganbare Chinsan Ooshoubu (MC-8123A, 317-5012)
grndtour	51.7	igs/iqblock.cpp	-	-	Grand Tour (V100U)
superbug	51.7	atari/firetrk.cpp	-	mame4all	Super Bug
tm8k	51.7	williams/tmaster.cpp	-	-	Touchmaster 8000 (v9.04 Standard)
rltennis	51.6	tch/rltennis.cpp	-	-	Reality Tennis (set 1)
akkaarrh	51.6	atari/akkaarrh.cpp	-	-	Akka Arrh (prototype)
mortalr	51.6	edevices/stlforce.cpp	-	-	Mortal Race
3x3puzzl	51.5	promat/3x3puzzl.cpp	-	-	3X3 Puzzle (Enterprise)
tm5k	51.5	williams/tmaster.cpp	-	-	Touchmaster 5000 (v7.10 Standard)
shocking	51.5	yunsung/yunsun16.cpp	-	-	Shocking
xyonix	51.5	misc/xyonix.cpp	-	-	Xyonix
tm4k	51.4	williams/tmaster.cpp	-	-	Touchmaster 4000 (v6.03 Standard)
blmbycar	51.4	gaelco/blmbycar.cpp	-	-	Blomby Car (Version 1P0)
twinactn	51.4	nmk/nmk16.cpp	-	mame4all	Twin Action
mastfury	51.3	unico/drgnmst.cpp	-	-	Master's Fury
arcadecl	51.2	atari/arcadecl.cpp	-	mame4all	Arcade Classics (prototype)
atehate	51.2	seta/seta.cpp	-	mame4all	Athena no Hatena?
extdwnhl	51.2	seta/seta.cpp	-	mame4all	Extreme Downhill (v1.5)
runaway	51.1	atari/runaway.cpp	-	-	Runaway (Atari, prototype)
svolley	51.0	vsystem/rpunch.cpp	-	mame4all	Super Volleyball (Japan)
ladyfrog	50.9	misc/ladyfrog.cpp	-	-	Lady Frog
qwak	50.9	atari/runaway.cpp	-	-	Qwak (prototype)
zombraid	50.9	seta/seta.cpp	-	mame4all	Zombie Raid (9/28/95, US)
fitfight	50.7	nix/fitfight.cpp	-	-	Fit of Fighting
pturn	50.5	jaleco/pturn.cpp	-	-	Parallel Turn
rackemup	50.5	konami/battlnts.cpp	-	mame4all	Rack 'em Up (version L)
drgnmst	50.4	unico/drgnmst.cpp	-	-	Dragon Master (set 1)
firebeas	50.4	atari/cloud9.cpp	-	mame4all	Firebeast (prototype)
msgundam	50.4	seta/seta.cpp	-	mame4all	Mobile Suit Gundam
sauro	50.4	tecfri/sauro.cpp	-	mame4all	Sauro (set 1)
cloud9	50.3	atari/cloud9.cpp	-	mame4all	Cloud 9 (prototype)
ngtbunny	50.3	nichibutsu/nightgal.cpp	-	-	Night Bunny (Japan 840601 MRN 2-10)
toucheme	50.3	misc/ladyfrog.cpp	-	-	Touche Me (set 1)
liblrabl	50.2	namco/toypop.cpp	-	mame4all	Libble Rabble
bombkick	50.2	yunsung/yunsun16.cpp	-	-	Bomb Kick (set 1)
fortecrd	50.2	misc/fortecar.cpp	-	-	Forte Card (Ver 110, Spanish)
m660	50.2	taito/tsamurai.cpp	-	mame4all	Mission 660 (US)
heberpop	50.1	sunelectronics/shangha3.cpp	-	mame4all	Hebereke no Popoon (Japan)
alphaxz	50.0	taito/tsamurai.cpp	-	mame4all	The Alphax Z (Japan)
hatris	50.0	vsystem/pipedrm.cpp	-	mame4all	Hatris (US)
kickball	49.9	vsystem/pspikes.cpp	-	mame4all	Kick Ball
mnight	49.9	upl/ninjakd2.cpp	-	mame4all	Mutant Night
battlnts	49.8	konami/battlnts.cpp	-	mame4all	Battlantis (version G)
