# setname	status	fps_no_present	driver_file	drc	fallback	title
dacholer	OK	54.3	nichibutsu/dacholer.cpp	-	-	Dacholer
skydest	OK	54.3	taito/cyclemb.cpp	-	-	Sky Destroyer (Japan)
magic10	OK	54.2	misc/magic10.cpp	-	-	Magic's 10 (ver. 16.55)
netwars	OK	54.2	orca/espial.cpp	-	mame4all	Net Wars
dogfight	OK	54.1	orca/zodiack.cpp	-	mame4all	Dog Fight (Thunderbolt)
wiz	OK	54.1	seibu/wiz.cpp	-	mame4all	Wiz
b3rinsya	OK	54.0	sigma/sigmab98.cpp	-	-	Burning Sanrinsya - Burning Tricycle
diverboy	OK	54.0	edevices/diverboy.cpp	-	-	Diver Boy
rezon	OK	53.9	seta/seta.cpp	-	mame4all	Rezon
superten	OK	53.9	misc/usgames.cpp	-	-	Super Ten V8.3
cubybop	OK	53.8	taito/taito_l.cpp	-	mame4all	Cuby Bop (Japan, location test)
karatour	OK	53.8	metro/metro.cpp	-	-	The Karate Tournament
perestro	OK	53.8	taito/superqix.cpp	-	-	Perestroika Girls
progress	OK	53.8	misc/timelimt.cpp	-	-	Progress
bking2	OK	53.7	taito/bking.cpp	-	mame4all	Birdie King 2
bluehawk	OK	53.7	dooyong/dooyong.cpp	-	-	Blue Hawk
hanaroku	OK	53.7	seta/albazc.cpp	-	-	Hanaroku
secondch	OK	53.7	misc/smsmcorp.cpp	-	-	Second Chance
flyboy	OK	53.6	galaxian/fastfred.cpp	-	mame4all	Fly-Boy
redclash	OK	53.6	universal/zerohour.cpp	-	-	Red Clash
10yard	OK	53.5	irem/m58.cpp	-	-	10-Yard Fight (World, set 1)
dokidoki	OK	53.5	sega/sg1000a.cpp	-	-	Doki Doki Penguin Land
sgunner2	OK	53.5	namco/namcos2.cpp	-	mame4all	Steel Gunner 2 (US)
bogeyman	OK	53.4	technos/bogeyman.cpp	-	mame4all	Bogey Manor
keirinou	OK	53.4	excellent/witch.cpp	-	-	Keirin Ou
magipur	OK	53.4	dataeast/tumbleb.cpp	-	-	Magic Purple
piratesh	OK	53.4	konami/piratesh.cpp	-	-	Pirate Ship (ver UAA)
silentd	OK	53.4	taito/taito_b.cpp	-	mame4all	Silent Dragon (World)
tm8k	OK	53.4	williams/tmaster.cpp	-	-	Touchmaster 8000 (v9.04 Standard)
arabian	OK	53.3	sunelectronics/arabian.cpp	-	mame4all	Arabian
radrad	OK	53.3	nichibutsu/seicross.cpp	-	mame4all	Radical Radial (US)
mainsnk	OK	53.2	snk/mainsnk.cpp	-	-	Main Event (1984)
brapboys	OK	53.0	kaneko/kaneko16.cpp	-	mame4all	B.Rap Boys (World)
heuksun	OK	53.0	f32/crospang.cpp	-	-	Heuk Sun Baek Sa (Korea)
extdwnhl	OK	52.9	seta/seta.cpp	-	mame4all	Extreme Downhill (v1.5)
hardhead	OK	52.9	suna/suna8.cpp	-	mame4all	Hard Head
zerohour	OK	52.9	universal/zerohour.cpp	-	-	Zero Hour (set 1)
animalc	OK	52.8	sigma/sammymdl.cpp	-	-	Animal Catch
crgolf	OK	52.8	nasco/crgolf.cpp	-	-	Crowns Golf (834-5419-04)
umanclub	OK	52.8	seta/seta.cpp	-	mame4all	Ultraman Club - Tatakae! Ultraman Kyoudai!!
barricad	OK	52.7	ramtek/hitme.cpp	-	-	Barricade
lastfour	OK	52.7	misc/galaxi.cpp	-	-	Last Four (09:12 16/01/2001)
sexyboom	OK	52.7	msx/sangho.cpp	-	-	Sexy Boom
ambush	OK	52.6	tecfri/ambush.cpp	-	mame4all	Ambush
carjmbre	OK	52.6	omori/carjmbre.cpp	-	-	Car Jamboree
futflash	OK	52.6	misc/laserbas.cpp	-	-	Future Flash (set 1)
pengadvb	OK	52.6	msx/pengadvb.cpp	-	-	Penguin Adventure (bootleg of MSX version, encrypted)
robotbwl	OK	52.6	exidy/circus.cpp	-	mame4all	Robot Bowl
sokonuke	OK	52.6	seta/seta.cpp	-	mame4all	Sokonuke Taisen Game (Japan)
getaway	OK	52.5	universal/getaway.cpp	-	-	Get A Way (upright)
histryma	OK	52.5	nix/fitfight.cpp	-	-	The History of Martial Arts (set 1)
metlhawk	OK	52.5	namco/namcos2.cpp	-	mame4all	Metal Hawk (Rev C)
mortalr	OK	52.5	edevices/stlforce.cpp	-	-	Mortal Race
robokid	OK	52.5	upl/ninjakd2.cpp	-	mame4all	Atomic Robo-kid (World, Type-2)
tsukande	OK	52.5	konami/konmedal.cpp	-	-	Tsukande Toru Chicchi
sharkatt	OK	52.4	pacific/thief.cpp	-	mame4all	Shark Attack
gluck2	OK	52.3	misc/gluck2.cpp	-	-	Good Luck II
chanbara	OK	52.2	dataeast/chanbara.cpp	-	-	Chanbara (Japan)
eightfrc	OK	52.2	seta/seta.cpp	-	mame4all	Eight Forces
sub	OK	52.2	orca/sub.cpp	-	-	Submarine (Sigma)
tutstomb	OK	52.2	misc/tickee.cpp	-	-	Tut's Tomb
3kokushi	OK	52.1	metro/metro.cpp	-	-	Sankokushi (Japan)
jumpkun	OK	52.1	taito/pitnrun.cpp	-	-	Jump Kun (prototype)
promutrv	OK	52.1	misc/ettrivia.cpp	-	-	Progressive Music Trivia (Question set 1)
relief	OK	52.1	atari/relief.cpp	-	mame4all	Relief Pitcher (Rev D, 07 Jun 1992 / 28 May 1992)
sushimar	OK	52.1	sigma/sigmab98.cpp	-	-	Itazura Daisuki! Sushimaru Kun
shuuz	OK	52.0	atari/shuuz.cpp	-	mame4all	Shuuz (version 8.0)
sureshot	OK	52.0	misc/smsmcorp.cpp	-	-	Sure Shot
thief	OK	52.0	pacific/thief.cpp	-	mame4all	Thief
top21	OK	52.0	misc/mil4000.cpp	-	-	Top XXI (Version 1.2)
wanted	OK	52.0	orca/marineb.cpp	-	mame4all	Wanted
bking	OK	51.9	taito/bking.cpp	-	mame4all	Birdie King
ordyne	OK	51.9	namco/namcos2.cpp	-	mame4all	Ordyne (World)
drgnmst	OK	51.8	unico/drgnmst.cpp	-	-	Dragon Master (set 1)
natodef	OK	51.8	pacific/thief.cpp	-	mame4all	NATO Defense
ucytokyu	OK	51.8	sigma/sigmab98.cpp	-	-	Uchuu Tokkyuu Medalian
sgunner	OK	51.7	namco/namcos2.cpp	-	mame4all	Steel Gunner (Rev B)
heberpop	OK	51.6	sunelectronics/shangha3.cpp	-	mame4all	Hebereke no Popoon (Japan)
karianx	OK	51.6	sega/deniam.cpp	-	mame4all	Karian Cross (Rev. 1.0)
kok	OK	51.6	misc/photon2.cpp	-	-	Povar / Sobrat' Buran / Agroprom (Arcade multi-game bootleg of ZX Spectrum 'Cookie', 'Jetpac' & 'Pssst')
akazukin	OK	51.5	orca/akazukin.cpp	-	-	Akazukin (Japan)
cgangpzl	OK	51.5	namco/namcona1.cpp	-	-	Cosmo Gang the Puzzle (US)
trvhang	OK	51.5	misc/smsmcorp.cpp	-	-	Trivia Hangup (version Trivia-1-050185)
arlingtn	OK	51.4	itech/itech8.cpp	-	-	Arlington Horse Racing (v1.40-D)
feversoc	OK	51.3	seibu/feversoc.cpp	sh	-	Fever Soccer
fitfight	OK	51.3	nix/fitfight.cpp	-	-	Fit of Fighting
sderby	OK	51.3	playmark/sderby.cpp	-	-	Super Derby (Playmark, v.07.03)
bombkick	OK	51.2	yunsung/yunsun16.cpp	-	-	Bomb Kick (set 1)
canvas	OK	51.2	snk/mainsnk.cpp	-	-	Canvas Croquis
rougien	OK	51.2	sanritsu/mermaid.cpp	-	mame4all	Rougien
wmg	OK	51.2	williams/wmg.cpp	-	-	Williams Multigame
lethalj	OK	51.1	ice/lethalj.cpp	-	-	Lethal Justice (Version 2.3)
dleague	OK	51.0	taito/taito_h.cpp	-	-	Dynamite League (US)
lbeach	OK	51.0	olympia/lbeach.cpp	-	-	Long Beach
macha	OK	51.0	nichibutsu/jangou.cpp	-	-	Monoshiri Quiz Oshaberi Macha (Japan)
pipeline	OK	51.0	misc/pipeline.cpp	-	-	Pipeline
pkscram	OK	50.9	misc/pkscram.cpp	-	-	PK Scramble
stlforce	OK	50.9	edevices/stlforce.cpp	-	-	Steel Force
mazerbla	OK	50.8	stern/mazerbla.cpp	-	-	Mazer Blazer (set 1)
shogwarr	OK	50.8	kaneko/kaneko16.cpp	-	mame4all	Shogun Warriors (World)
battlnts	OK	50.7	konami/battlnts.cpp	-	mame4all	Battlantis (version G)
galaxi	OK	50.7	misc/galaxi.cpp	-	-	Galaxi (v2.0)
msgundam	OK	50.7	seta/seta.cpp	-	mame4all	Mobile Suit Gundam
croquis	OK	50.6	sega/deniam.cpp	-	mame4all	Croquis (Korea)
destryer	OK	50.6	efo/cidelsa.cpp	-	-	Destroyer (Cidelsa, set 1)
phelios	OK	50.6	namco/namcos2.cpp	-	mame4all	Phelios
micon2	OK	50.5	snk/miconkit.cpp	-	-	Micon-Kit Part II
wolfpack	OK	50.5	atari/wolfpack.cpp	-	-	Wolf Pack (prototype)
ksayakyu	OK	50.4	taito/ksayakyu.cpp	-	-	Kusayakyuu
livequiz	OK	50.4	snk/midas.cpp	-	-	Live Quiz Show
stuntair	OK	50.4	misc/stuntair.cpp	-	-	Stunt Air
talbot	OK	50.4	alpha/champbas.cpp	-	mame4all	Talbot
wardner	OK	50.4	toaplan/wardner.cpp	-	mame4all	Wardner (World)
blocken	OK	50.3	sunelectronics/shangha3.cpp	-	mame4all	Blocken (Japan)
eggventr	OK	50.3	ice/lethalj.cpp	-	-	Egg Venture (Release 10)
lethalen	OK	50.3	konami/lethal.cpp	-	-	Lethal Enforcers (ver UAE, 11/19/92 15:04)
popspops	OK	50.3	nmk/nmk16.cpp	-	mame4all	Pop's Pop's
re800v1	OK	50.3	misc/corona.cpp	-	-	Ruleta RE-800 (v1.0, set 1)
spacelnc	OK	50.3	nintendo/n8080.cpp	-	mame4all	Space Launcher
abaseb	OK	50.2	atari/atarifb.cpp	-	mame4all	Atari Baseball (set 1)
bking3	OK	50.2	taito/bking.cpp	-	mame4all	Birdie King 3
imago	OK	50.2	galaxian/fastfred.cpp	-	mame4all	Imago (cocktail set)
qzkklogy	OK	50.2	seta/seta.cpp	-	mame4all	Quiz Kokology
r2dtank	OK	50.2	sigma/r2dtank.cpp	-	-	R2D Tank
pbillian	OK	50.1	taito/superqix.cpp	-	-	Prebillian
quantum	OK	50.1	atari/quantum.cpp	-	mame4all	Quantum (rev 2)
scyclone	OK	50.1	taito/scyclone.cpp	-	-	Space Cyclone (Japan)
musicsrt	OK	50.0	misc/magic10.cpp	-	-	Music Sort (ver. 2.02)
cclownz	OK	49.9	ice/lethalj.cpp	-	-	Crazzy Clownz (Version 1.0)
magerror	OK	49.9	metro/hyprduel.cpp	-	-	Magical Error wo Sagase
magmax	OK	49.9	nichibutsu/magmax.cpp	-	-	Mag Max (set 1)
mirninja	OK	49.9	namco/namcos2.cpp	-	mame4all	Mirai Ninja (Japan, set 1)
tsamurai	OK	49.9	taito/tsamurai.cpp	-	mame4all	Samurai Nihon-Ichi (rev 1)
bubl2000	OK	49.8	nmk/nmk16.cpp	-	mame4all	Bubble 2000
kickball	OK	49.8	vsystem/pspikes.cpp	-	mame4all	Kick Ball
ripribit	OK	49.8	ice/lethalj.cpp	-	-	Ripper Ribbit (Version 3.5)
shocking	OK	49.8	yunsung/yunsun16.cpp	-	-	Shocking
marvland	OK	49.6	namco/namcos2.cpp	-	mame4all	Marvel Land (Japan)
mil4000	OK	49.6	misc/mil4000.cpp	-	-	Millennium Nuovo 4000 (Version 2.0)
yamagchi	OK	49.6	taito/tsamurai.cpp	-	mame4all	Go Go Mr. Yamaguchi / Yuke Yuke Yamaguchi-kun
plgirls	OK	49.5	taito/taito_l.cpp	-	mame4all	Play Girls
scudhamm	OK	49.5	jaleco/scudhamm.cpp	-	-	Scud Hammer (Japan, ver 1.4)
tickee	OK	49.5	misc/tickee.cpp	-	-	Tickee Tickats
cyclemb	OK	49.4	taito/cyclemb.cpp	-	-	Cycle Maabou (Japan)
lazercmd	OK	49.4	meadows/lazercmd.cpp	-	mame4all	Lazer Command
grdnstrm	OK	49.3	nmk/nmk16.cpp	-	mame4all	Guardian Storm (horizontal, not encrypted)
dsaber	OK	49.2	namco/namcos2.cpp	-	mame4all	Dragon Saber (World, DO2)
koikois	OK	49.2	seta/simple_st0016.cpp	-	-	Koi Koi Shimasho - Super Real Hanafuda
toratora	OK	49.2	misc/toratora.cpp	-	-	Tora Tora (prototype?)
cfarm	OK	49.1	ice/lethalj.cpp	-	-	Chicken Farm (Version 2.0)
efdt	OK	49.1	misc/efdt.cpp	-	-	El Fin Del Tiempo
mayumi	OK	49.1	sanritsu/chinsan.cpp	-	-	Kiki-Ippatsu Mayumi-chan
usg32	OK	49.1	misc/usgames.cpp	-	-	Super Duper Casino (California V3.2)
altair	OK	49.0	efo/cidelsa.cpp	-	-	Altair
bottom9	OK	49.0	konami/bottom9.cpp	-	mame4all	Bottom of the Ninth (version T)
dynashot	OK	49.0	jaleco/homerun.cpp	-	-	Dynamic Shoot Kyousou
galgame	OK	48.9	misc/galgame.cpp	-	-	Galaxy Game
swatpolc	OK	48.9	misc/esd16.cpp	-	-	SWAT Police
kamenrid	OK	48.8	seta/seta.cpp	-	mame4all	Masked Riders Club Battle Race / Kamen Rider Club Battle Racer
ppmast93	OK	48.8	edevices/ppmast93.cpp	-	-	Ping Pong Masters '93
champbb2	OK	48.7	alpha/champbas.cpp	-	mame4all	Champion Base Ball Part-2 (set 1)
horshoes	OK	48.7	taito/taito_l.cpp	-	mame4all	American Horseshoes (US)
sbowling	OK	48.7	taito/sbowling.cpp	-	-	Strike Bowling
silvmil	OK	48.7	f32/silvmil.cpp	-	-	Silver Millennium
ginganin	OK	48.6	jaleco/ginganin.cpp	-	mame4all	Ginga Ninkyouden (set 1)
dolmen	OK	48.5	nmk/nmk16.cpp	-	mame4all	Dolmen
flagrall	OK	48.5	promat/1945kiii.cpp	-	-	'96 Flag Rally
redalert	OK	48.5	irem/redalert.cpp	-	mame4all	Red Alert
sgsafari	OK	48.5	misc/magic10.cpp	-	-	Super Gran Safari (ver. 3.11)
usgames	OK	48.5	misc/usgames.cpp	-	-	Games V25.4X
iqblock	OK	48.4	igs/iqblock.cpp	-	-	IQ-Block (V100U)
kickboy	OK	48.4	nichibutsu/dacholer.cpp	-	-	Kick Boy
redrobin	OK	48.4	galaxian/fastfred.cpp	-	mame4all	Red Robin
xxmissio	OK	48.4	upl/xxmissio.cpp	-	-	XX Mission
androidp	OK	48.3	nasco/himesiki.cpp	-	-	Android (prototype, later build)
magspeed	OK	48.3	seta/seta.cpp	-	mame4all	Magical Speed
mugsmash	OK	48.3	edevices/mugsmash.cpp	-	-	Mug Smashers
zerozone	OK	48.3	comad/zerozone.cpp	-	mame4all	Zero Zone
bubbletr	OK	48.2	namco/namcos2.cpp	-	mame4all	Bubble Trouble - Golly! Ghost! 2 (World, Rev B)
rthun2	OK	48.2	namco/namcos2.cpp	-	mame4all	Rolling Thunder 2
soccer	OK	48.2	atari/atarifb.cpp	-	mame4all	Atari Soccer
witch	OK	48.2	excellent/witch.cpp	-	-	Witch
musicbal	OK	48.1	tecfri/speedbal.cpp	-	mame4all	Music Ball
navarone	OK	48.1	namco/warpwarp.cpp	-	mame4all	Navarone
oneshot	OK	48.1	misc/oneshot.cpp	-	-	One Shot One Kill
pepsiman	OK	48.1	sigma/sigmab98.cpp	-	-	PEPSI Man
ryujin	OK	48.1	taito/taito_b.cpp	-	mame4all	Ryu Jin (Japan, ET910000B PCB)
sws93	OK	48.1	namco/namcos2.cpp	-	mame4all	Super World Stadium '93 (Japan)
itaten	OK	48.0	nichibutsu/dacholer.cpp	-	-	Itazura Tenshi (Japan)
ginkun	OK	47.9	tecmo/tecmo16.cpp	-	mame4all	Ganbare Ginkun
supergm3	OK	47.9	nintendo/multigam.cpp	-	-	Super Game III
twinactn	OK	47.9	nmk/nmk16.cpp	-	mame4all	Twin Action
zingzip	OK	47.9	seta/seta.cpp	-	mame4all	Zing Zing Zip (World) / Zhen Zhen Ji Pao (China?)
finehour	OK	47.8	namco/namcos2.cpp	-	mame4all	Finest Hour (Japan)
lvgirl94	OK	47.8	comad/zerozone.cpp	-	mame4all	Las Vegas Girl (Girl '94)
tankbust	OK	47.8	valadon/tankbust.cpp	-	-	Tank Busters
burnforc	OK	47.7	namco/namcos2.cpp	-	mame4all	Burning Force (Japan, new version (Rev C))
garogun	OK	47.7	yunsung/nmg5.cpp	-	-	Garogun Seroyang (Korea)
m660	OK	47.7	taito/tsamurai.cpp	-	mame4all	Mission 660 (US)
neobattl	OK	47.7	seta/seta.cpp	-	mame4all	SD Gundam Neo Battling (Japan)
prosoccr	OK	47.7	dataeast/liberate.cpp	-	-	Pro Soccer
maddonna	OK	47.6	misc/oneshot.cpp	-	-	Mad Donna (Tuning, set 1)
punchout	OK	47.6	nintendo/punchout.cpp	-	mame4all	Punch-Out!! (Rev B)
1945kiii	OK	47.5	promat/1945kiii.cpp	-	-	1945k III (newer, OPCX2 PCB)
battlane	OK	47.5	technos/battlane.cpp	-	mame4all	Battle Lane! Vol. 5 (set 1)
gemcrush	OK	47.5	misc/dfruit.cpp	-	-	Gemcrush (Japan, prototype)
jngolady	OK	47.5	nichibutsu/jangou.cpp	-	-	Jangou Lady (Japan)
retofinv	OK	47.5	taito/retofinv.cpp	-	mame4all	Return of the Invaders
spacefev	OK	47.5	nintendo/n8080.cpp	-	mame4all	Space Fever (new version)
ballbros	OK	47.4	taito/taito_x.cpp	-	mame4all	Balloon Brothers
goindol	OK	47.4	suna/goindol.cpp	-	mame4all	Goindol (SunA, World)
searchey	OK	47.4	yunsung/nmg5.cpp	-	-	Search Eye (English / Korean / Japanese / Italian)
ttchamp	OK	47.4	misc/ttchamp.cpp	-	-	Table Tennis Champions
cop01	OK	47.3	nichibutsu/cop01.cpp	-	mame4all	Cop 01 (set 1)
d9final	OK	47.3	excellent/d9final.cpp	-	-	Dream 9 Final (v2.24)
mole	OK	47.3	yachiyo/mole.cpp	-	mame4all	Mole Attack
skyfox	OK	47.3	jaleco/skyfox.cpp	-	mame4all	Sky Fox
sws92	OK	47.3	namco/namcos2.cpp	-	mame4all	Super World Stadium '92 (Japan)
armwrest	OK	47.2	nintendo/punchout.cpp	-	mame4all	Arm Wrestling
berlwall	OK	47.2	kaneko/kaneko16.cpp	-	mame4all	The Berlin Wall
scessjoe	OK	47.2	taito/ashnojoe.cpp	-	-	Success Joe (World)
sws	OK	47.2	namco/namcos2.cpp	-	mame4all	Super World Stadium (Japan)
toucheme	OK	47.2	misc/ladyfrog.cpp	-	-	Touche Me (set 1)
alinvade	OK	47.1	misc/alinvade.cpp	-	-	Alien Invaders
roldfrog	OK	47.1	gaelco/splash.cpp	-	mame4all	The Return of Lady Frog (set 1)
fightrol	OK	47.0	taito/rollrace.cpp	-	-	Fighting Roller
jangou	OK	47.0	nichibutsu/jangou.cpp	-	-	Jangou (Japan)
mirax	OK	47.0	misc/mirax.cpp	-	-	Mirax (set 1)
crgolfhi	OK	46.9	nasco/crgolf.cpp	-	-	Crowns Golf in Hawaii
kyukaidk	OK	46.9	namco/namcos2.cpp	-	mame4all	Kyuukai Douchuuki (Japan, new version (Rev B))
victory	OK	46.9	exidy/victory.cpp	-	mame4all	Victory
watrball	OK	46.9	gaelco/blmbycar.cpp	-	-	Water Balls
nastar	OK	46.8	taito/taito_b.cpp	-	mame4all	Nastar (World)
triviaqz	OK	46.8	misc/triviaquiz.cpp	-	-	Professor Trivia (set 1)
wbeachvl	OK	46.8	playmark/playmark.cpp	-	-	World Beach Volley (set 1, PIC16C57 audio CPU)
sidewndr	OK	46.7	misc/acefruit.cpp	-	-	Sidewinder
bcstry	OK	46.6	dataeast/tumbleb.cpp	-	-	B.C. Story (set 1)
mainevt	OK	46.6	konami/mainevt.cpp	-	mame4all	The Main Event (4 Players ver. Y)
olibochu	OK	46.6	irem/olibochu.cpp	-	mame4all	Oli-Boo-Chu (USA)
spool99	OK	46.6	misc/spool99.cpp	-	-	Super Pool 99 (Version 0.36)
dfruit	OK	46.5	misc/dfruit.cpp	-	-	Fruit Dream (Japan, Ver. 1.20)
famibox	OK	46.5	nintendo/famibox.cpp	-	-	FamicomBox
gollygho	OK	46.5	namco/namcos2.cpp	-	mame4all	Golly! Ghost!
spetrix	OK	46.5	misc/magic10.cpp	-	-	Super Petrix (ver. 1P)
trvquest	OK	46.5	alliedleisure/trvquest.cpp	-	-	Trivia Quest
arcadecl	OK	46.4	atari/arcadecl.cpp	-	mame4all	Arcade Classics (prototype)
go2000	OK	46.4	suna/go2000.cpp	-	-	Go 2000
videopin	OK	46.4	atari/videopin.cpp	-	mame4all	Video Pinball (16 PROMs version)
hrdtimes	OK	46.3	playmark/playmark.cpp	-	-	Hard Times (set 1)
drmicro	OK	46.2	sanritsu/drmicro.cpp	-	-	Dr. Micro
kungfut	OK	46.2	seibu/wiz.cpp	-	mame4all	Kung-Fu Taikun (set 1)
liberatr	OK	46.2	atari/liberatr.cpp	-	mame4all	Liberator (version 2)
metlsavr	OK	46.2	dataeast/tumbleb.cpp	-	-	Metal Saver
sms4in1	OK	46.2	misc/smsmcorp.cpp	-	-	4-in-1 (version SWS1-052587)
blmbycar	OK	46.1	gaelco/blmbycar.cpp	-	-	Blomby Car (Version 1P0)
gijoe	OK	46.1	konami/gijoe.cpp	-	-	G.I. Joe (World, EAB)
magicbal	OK	46.1	dataeast/tumbleb.cpp	-	-	Magicball Fighting (Korea)
sindbadm	OK	46.1	sega/segag80r.cpp	-	mame4all	Sindbad Mystery
utoukond	OK	46.1	seta/seta.cpp	-	mame4all	Ultra Toukon Densetsu (Japan)
recordbr	OK	46.0	taito/taito_h.cpp	-	-	Recordbreaker (World)
akkaarrh	OK	45.9	atari/akkaarrh.cpp	-	-	Akka Arrh (prototype)
atarifb	OK	45.9	atari/atarifb.cpp	-	mame4all	Atari Football (revision 2)
gundl94	OK	45.9	dooyong/dooyong.cpp	-	-	Gun Dealer '94
wrofaero	OK	45.9	seta/seta.cpp	-	mame4all	War of Aero - Project MEIOU
dreambal	OK	45.8	dataeast/dreambal.cpp	-	-	Dream Ball (Japan V2.4)
jumppop	OK	45.8	misc/esd16.cpp	-	-	Jumping Pop (set 1)
suprtrio	OK	45.8	dataeast/tumbleb.cpp	-	-	Super Trio
wondstck	OK	45.8	yunsung/nmg5.cpp	-	-	Wonder Stick (set 1)
fcombat	OK	45.7	jaleco/fcombat.cpp	-	-	Field Combat
mouser	OK	45.7	upl/mouser.cpp	-	-	Mouser
rshark	OK	45.7	dooyong/dooyong.cpp	-	-	R-Shark (set 1)
prosport	OK	45.6	dataeast/liberate.cpp	-	-	Pro Sports - Bowling, Tennis, and Golf
carket	OK	45.5	dataeast/tumbleb.cpp	-	-	Carket Ball
dblewing	OK	45.5	dataeast/dblewing.cpp	-	-	Double Wings (set 1)
starfigh	OK	45.5	suna/suna8.cpp	-	mame4all	Star Fighter (v1)
crimec	OK	45.4	taito/taito_b.cpp	-	mame4all	Crime City (World)
7ordi	OK	45.3	yunsung/nmg5.cpp	-	-	7 Ordi (Korea)
gekiretu	OK	45.3	nmk/quizdna.cpp	-	-	Quiz Gekiretsu Scramble (Japan)
packbang	OK	45.3	kaneko/kaneko16.cpp	-	mame4all	Pack'n Bang Bang
bigtwin	OK	45.2	playmark/playmark.cpp	-	-	Big Twin
borntofi	OK	45.2	edevices/fantland.cpp	-	-	Born To Fight (set 1)
ddealer	OK	45.2	nmk/ddealer.cpp	-	-	Double Dealer
ladygum	OK	45.2	misc/videosaa.cpp	-	-	Lady Gum
m79amb	OK	45.2	ramtek/m79amb.cpp	-	mame4all	M-79 Ambush
patapata	OK	45.2	atlus/patapata.cpp	-	-	Pata Pata Panic
seabattl	OK	45.2	zaccaria/seabattl.cpp	-	-	Sea Battle
gpgolf	OK	45.1	itech/itech8.cpp	-	-	Golden Par Golf (Joystick, v1.1)
lufykzku	OK	45.1	sigma/sigmab98.cpp	-	-	Otakara Itadaki Luffy Kaizoku-Dan! (Japan, v1.02)
magicbub	OK	45.1	yunsung/yunsun16.cpp	-	-	Magic Bubble
sdfight	OK	45.1	dataeast/tumbleb.cpp	-	-	SD Fighters (Korea)
bsktball	OK	45.0	atari/bsktball.cpp	-	mame4all	Atari Basketball
renju	OK	45.0	seta/simple_st0016.cpp	-	-	Renju Kizoku - Kira Kira Gomoku Narabe (ver. 1.0)
semibase	OK	45.0	dataeast/tumbleb.cpp	-	-	MuHanSeungBu (SemiCom Baseball) (Korea)
ctribe	OK	44.9	technos/ddragon3.cpp	-	mame4all	The Combatribes (US, rev 2, set 1)
strvmstr	OK	44.9	misc/ettrivia.cpp	-	-	Super Trivia Master
boomrang	OK	44.8	dataeast/liberate.cpp	-	-	Boomer Rang'r / Genesis (set 1)
compgolf	OK	44.8	dataeast/compgolf.cpp	-	-	Competition Golf Final Round (World?, revision 3)
darkmist	OK	44.8	seibu/darkmist.cpp	-	-	The Lost Castle In Darkmist
excelsr	OK	44.8	playmark/playmark.cpp	-	-	Excelsior (set 1)
gakupara	OK	44.8	nmk/quizdna.cpp	-	-	Quiz Gakuen Paradise (Japan, ver. 1.04)
magix	OK	44.8	yunsung/yunsung8.cpp	-	mame4all	Magix / Rock
plotting	OK	44.8	taito/taito_l.cpp	-	mame4all	Plotting (World set 1)
twinhawk	OK	44.8	taito/taito_x.cpp	-	mame4all	Twin Hawk (World)
5clown	OK	44.7	igs/5clown.cpp	-	-	Five Clown (English, set 1)
himesiki	OK	44.7	nasco/himesiki.cpp	-	-	Himeshikibu (Japan)
ddayjlc	OK	44.6	jaleco/dday.cpp	-	-	D-Day (Jaleco, set 1)
ashura	OK	44.5	taito/taito_b.cpp	-	mame4all	Ashura Blaster (World)
multigm2	OK	44.5	nintendo/multigam.cpp	-	-	Multi Game 2
pass	OK	44.5	misc/pass.cpp	-	-	Pass
jjsquawk	OK	44.4	seta/seta.cpp	-	mame4all	J. J. Squawkers
neckneck	OK	44.4	itech/itech8.cpp	-	-	Neck-N-Neck (v1.2)
ninclown	OK	44.4	itech/itech8.cpp	-	-	Ninja Clowns (27 oct 91)
rackemup	OK	44.4	konami/battlnts.cpp	-	mame4all	Rack 'em Up (version L)
suprgolf	OK	44.4	nasco/suprgolf.cpp	-	-	Super Crowns Golf (World)
holeland	OK	44.3	tecfri/holeland.cpp	-	-	Hole Land (Japan)
superman	OK	44.3	taito/taito_x.cpp	-	mame4all	Superman (World)
aquarium	OK	44.2	excellent/aquarium.cpp	-	-	Aquarium (US)
chqflag	OK	44.2	konami/chqflag.cpp	-	-	Chequered Flag
gigandes	OK	44.2	taito/taito_x.cpp	-	mame4all	Gigandes
gigas	OK	44.2	misc/freekick.cpp	-	-	Gigas (MC-8123, 317-5002)
hammer	OK	44.2	snk/midas.cpp	-	-	Hammer
ladyfrog	OK	44.2	misc/ladyfrog.cpp	-	-	Lady Frog
momoko	OK	44.2	jaleco/momoko.cpp	-	mame4all	Momoko 120% (Japanese text)
puzzlove	OK	44.2	f32/silvmil.cpp	-	-	PuzzLove
wiggie	OK	44.2	seta/seta.cpp	-	mame4all	Wiggie Waggie
dirtfoxj	OK	44.1	namco/namcos2.cpp	-	mame4all	Dirt Fox (Japan)
flytiger	OK	44.1	dooyong/dooyong.cpp	-	-	Flying Tiger (set 1)
jockeyc	OK	44.1	seta/seta.cpp	-	mame4all	Jockey Club (v1.18)
lependu	OK	44.1	misc/lependu.cpp	-	-	Le Pendu (Bilingue, Version 04)
peggle	OK	44.1	itech/itech8.cpp	-	-	Peggle (Joystick, v1.0)
sauro	OK	44.1	tecfri/sauro.cpp	-	mame4all	Sauro (set 1)
skydiver	OK	44.1	atari/skydiver.cpp	-	mame4all	Sky Diver
supertnk	OK	44.1	videogames/supertnk.cpp	-	-	Super Tank
